Date;Description;Holidays/Sunday
24.08.2015;Sommerferien;1
25.08.2015;Sommerferien;1
26.08.2015;Sommerferien;1
27.08.2015;Sommerferien;1
28.08.2015;Sommerferien;1
29.08.2015;Sommerferien;1
30.08.2015;Sommerferien;1
31.08.2015;Sommerferien;1
01.09.2015;Sommerferien;1
02.09.2015;Sommerferien;1
03.09.2015;Sommerferien;1
04.09.2015;Sommerferien;1
05.09.2015;Sommerferien;1
06.09.2015;Sommerferien;1
07.09.2015;Sommerferien;1
08.09.2015;Sommerferien;1
09.09.2015;Sommerferien;1
10.09.2015;Sommerferien;1
11.09.2015;Sommerferien;1
12.09.2015;Sommerferien;1
03.10.2015;Tag der Deutschen Einheit;1
31.10.2015;Herbstferien;1
01.11.2015;Allerheiligen;1
02.11.2015;Herbstferien;1
03.11.2015;Herbstferien;1
04.11.2015;Herbstferien;1
05.11.2015;Herbstferien;1
06.11.2015;Herbstferien;1
23.12.2015;Weihnachtsferien;1
24.12.2015;Weihnachtsferien;1
25.12.2015;1. Weihnachtstag;1
26.12.2015;2. Weihnachtstag;1
27.12.2015;Weihnachtsferien;1
28.12.2015;Weihnachtsferien;1
29.12.2015;Weihnachtsferien;1
30.12.2015;Weihnachtsferien;1
31.12.2015;Weihnachtsferien;1
01.01.2016;Neujahr;1
02.01.2016;Weihnachtsferien;1
03.01.2016;Weihnachtsferien;1
04.01.2016;Weihnachtsferien;1
05.01.2016;Weihnachtsferien;1
06.01.2016;Heilige Drei Koenige;1
07.01.2016;Weihnachtsferien;1
08.01.2016;Weihnachtsferien;1
09.01.2016;Weihnachtsferien;1
25.03.2016;Karfreitag;1
28.03.2016;Ostermontag;1
29.03.2016;Osterferien;1
30.03.2016;Osterferien;1
31.03.2016;Osterferien;1
01.04.2016;Osterferien;1
02.04.2016;Osterferien;1
01.05.2016;Tag der Arbeit;1
05.05.2016;Christi Himmelfahrt;1
16.05.2016;Pfingsmontag;1
17.05.2016;Pfingstferien;1
18.05.2016;Pfingstferien;1
19.05.2016;Pfingstferien;1
20.05.2016;Pfingstferien;1
21.05.2016;Pfingstferien;1
22.05.2016;Pfingstferien;1
23.05.2016;Pfingstferien;1
24.05.2016;Pfingstferien;1
25.05.2016;Pfingstferien;1
26.05.2016;Fronleichnam;1
27.05.2016;Pfingstferien;1
28.05.2016;Pfingstferien;1
28.07.2016;Sommerferien;1
29.07.2016;Sommerferien;1
30.07.2016;Sommerferien;1
31.07.2016;Sommerferien;1
01.08.2016;Sommerferien;1
02.08.2016;Sommerferien;1
03.08.2016;Sommerferien;1
04.08.2016;Sommerferien;1
05.08.2016;Sommerferien;1
06.08.2016;Sommerferien;1
07.08.2016;Sommerferien;1
08.08.2016;Sommerferien;1
09.08.2016;Sommerferien;1
10.08.2016;Sommerferien;1
11.08.2016;Sommerferien;1
12.08.2016;Sommerferien;1
13.08.2016;Sommerferien;1
14.08.2016;Sommerferien;1
15.08.2016;Sommerferien;1
16.08.2016;Sommerferien;1
17.08.2016;Sommerferien;1
18.08.2016;Sommerferien;1
19.08.2016;Sommerferien;1
20.08.2016;Sommerferien;1
21.08.2016;Sommerferien;1
22.08.2016;Sommerferien;1
23.08.2016;Sommerferien;1
24.08.2016;Sommerferien;1
25.08.2016;Sommerferien;1
26.08.2016;Sommerferien;1
27.08.2016;Sommerferien;1
28.08.2016;Sommerferien;1
29.08.2016;Sommerferien;1
30.08.2016;Sommerferien;1
31.08.2016;Sommerferien;1
01.09.2016;Sommerferien;1
02.09.2016;Sommerferien;1
03.09.2016;Sommerferien;1
04.09.2016;Sommerferien;1
05.09.2016;Sommerferien;1
06.09.2016;Sommerferien;1
07.09.2016;Sommerferien;1
08.09.2016;Sommerferien;1
09.09.2016;Sommerferien;1
10.09.2016;Sommerferien;1
03.10.2016;Tag der Deutschen Einheit;1
01.11.2016;Allerheiligen;1
02.11.2016;Herbstferien;1
03.11.2016;Herbstferien;1
04.11.2016;Herbstferien;1
23.12.2016;Weihnachtsferien;1
24.12.2016;Weihnachtsferien;1
25.12.2016;1. Weihnachtstag;1
26.12.2016;2. Weihnachtstag;1
27.12.2016;Weihnachtsferien;1
28.12.2016;Weihnachtsferien;1
29.12.2016;Weihnachtsferien;1
30.12.2016;Weihnachtsferien;1
31.12.2016;Weihnachtsferien;1
01.01.2017;Neujahr;1
02.01.2017;Weihnachtsferien;1
03.01.2017;Weihnachtsferien;1
04.01.2017;Weihnachtsferien;1
05.01.2017;Weihnachtsferien;1
06.01.2017;Heilige Drei Koenige;1
07.01.2017;Weihnachtsferien;1
10.04.2017;Osterferien;1
11.04.2017;Osterferien;1
12.04.2017;Osterferien;1
13.04.2017;Osterferien;1
14.04.2017;Karfreitag;1
15.04.2017;Osterferien;1
16.04.2017;Osterferien;1
17.04.2017;Ostermontag;1
18.04.2017;Osterferien;1
19.04.2017;Osterferien;1
20.04.2017;Osterferien;1
21.04.2017;Osterferien;1
01.05.2017;Tag der Arbeit;1
25.05.2017;Christi Himmelfahrt;1
05.06.2017;Pfingsmontag;1
06.06.2017;Pfingsferien;1
07.06.2017;Pfingsferien;1
08.06.2017;Pfingsferien;1
09.06.2017;Pfingsferien;1
10.06.2017;Pfingsferien;1
11.06.2017;Pfingsferien;1
12.06.2017;Pfingsferien;1
13.06.2017;Pfingsferien;1
14.06.2017;Pfingsferien;1
15.06.2017;Pfingsferien;1
16.06.2017;Pfingsferien;1
27.07.2017;Sommerferien;1
28.07.2017;Sommerferien;1
29.07.2017;Sommerferien;1
30.07.2017;Sommerferien;1
31.07.2017;Sommerferien;1
01.08.2017;Sommerferien;1
02.08.2017;Sommerferien;1
03.08.2017;Sommerferien;1
04.08.2017;Sommerferien;1
05.08.2017;Sommerferien;1
06.08.2017;Sommerferien;1
07.08.2017;Sommerferien;1
08.08.2017;Sommerferien;1
09.08.2017;Sommerferien;1
10.08.2017;Sommerferien;1
11.08.2017;Sommerferien;1
12.08.2017;Sommerferien;1
13.08.2017;Sommerferien;1
14.08.2017;Sommerferien;1
15.08.2017;Sommerferien;1
16.08.2017;Sommerferien;1
17.08.2017;Sommerferien;1
18.08.2017;Sommerferien;1
19.08.2017;Sommerferien;1
20.08.2017;Sommerferien;1
21.08.2017;Sommerferien;1
22.08.2017;Sommerferien;1
23.08.2017;Sommerferien;1
24.08.2017;Sommerferien;1
25.08.2017;Sommerferien;1
26.08.2017;Sommerferien;1
27.08.2017;Sommerferien;1
28.08.2017;Sommerferien;1
29.08.2017;Sommerferien;1
30.08.2017;Sommerferien;1
31.08.2017;Sommerferien;1
01.09.2017;Sommerferien;1
02.09.2017;Sommerferien;1
03.09.2017;Sommerferien;1
04.09.2017;Sommerferien;1
05.09.2017;Sommerferien;1
06.09.2017;Sommerferien;1
07.09.2017;Sommerferien;1
08.09.2017;Sommerferien;1
09.09.2017;Sommerferien;1
03.10.2017;Tag der Deutschen Einheit;1
30.10.2017;Herbstferien;1
31.10.2017;Allerheiligen;1
01.11.2017;Herbstferien;1
02.11.2017;Herbstferien;1
03.11.2017;Herbstferien;1
22.12.2017;Weihnachtsferien;1
23.12.2017;Weihnachtsferien;1
24.12.2017;Weihnachtsferien;1
25.12.2017;1. Weihnachtstag;1
26.12.2017;2. Weihnachtstag;1
27.12.2017;Weihnachtsferien;1
28.12.2017;Weihnachtsferien;1
29.12.2017;Weihnachtsferien;1
30.12.2017;Weihnachtsferien;1
31.12.2017;Weihnachtsferien;1
01.01.2018;Neujahr;1
02.01.2018;Weihnachtsferien;1
03.01.2018;Weihnachtsferien;1
04.01.2018;Weihnachtsferien;1
05.01.2018;Weihnachtsferien;1
06.01.2018;Heilige Drei Koenige;1
12.03.2018;Winterferien;1
13.03.2018;Winterferien;1
14.03.2018;Winterferien;1
15.03.2018;Winterferien;1
16.03.2018;Winterferien;1
26.03.2018;Osterferien;1
27.03.2018;Osterferien;1
28.03.2018;Osterferien;1
29.03.2018;Osterferien;1
30.03.2018;Karfreitag;1
31.03.2018;Osterferien;1
01.04.2018;Osterferien;1
02.04.2018;Ostermontag;1
03.04.2018;Osterferien;1
04.04.2018;Osterferien;1
05.04.2018;Osterferien;1
06.04.2018;Osterferien;1
01.05.2018;Tag der Arbeit;1
10.05.2018;Christi Himmelfahrt;1
21.05.2018;Pfingstmontag;1
22.05.2018;Pfingstferien;1
23.05.2018;Pfingstferien;1
24.05.2018;Pfingstferien;1
25.05.2018;Pfingstferien;1
26.05.2018;Pfingstferien;1
27.05.2018;Pfingstferien;1
28.05.2018;Pfingstferien;1
29.05.2018;Pfingstferien;1
30.05.2018;Pfingstferien;1
31.05.2018;Fronleichnam;1
01.06.2018;Pfingstferien;1
02.06.2018;Pfingstferien;1
26.07.2018;Sommerferien;1
27.07.2018;Sommerferien;1
28.07.2018;Sommerferien;1
29.07.2018;Sommerferien;1
30.07.2018;Sommerferien;1
31.07.2018;Sommerferien;1
01.08.2018;Sommerferien;1
02.08.2018;Sommerferien;1
03.08.2018;Sommerferien;1
04.08.2018;Sommerferien;1
05.08.2018;Sommerferien;1
06.08.2018;Sommerferien;1
07.08.2018;Sommerferien;1
08.08.2018;Sommerferien;1
09.08.2018;Sommerferien;1
10.08.2018;Sommerferien;1
11.08.2018;Sommerferien;1
12.08.2018;Sommerferien;1
13.08.2018;Sommerferien;1
14.08.2018;Sommerferien;1
15.08.2018;Sommerferien;1
16.08.2018;Sommerferien;1
17.08.2018;Sommerferien;1
18.08.2018;Sommerferien;1
19.08.2018;Sommerferien;1
20.08.2018;Sommerferien;1
21.08.2018;Sommerferien;1
22.08.2018;Sommerferien;1
23.08.2018;Sommerferien;1
24.08.2018;Sommerferien;1
25.08.2018;Sommerferien;1
26.08.2018;Sommerferien;1
27.08.2018;Sommerferien;1
28.08.2018;Sommerferien;1
29.08.2018;Sommerferien;1
30.08.2018;Sommerferien;1
31.08.2018;Sommerferien;1
01.09.2018;Sommerferien;1
02.09.2018;Sommerferien;1
03.09.2018;Sommerferien;1
04.09.2018;Sommerferien;1
05.09.2018;Sommerferien;1
06.09.2018;Sommerferien;1
07.09.2018;Sommerferien;1
08.09.2018;Sommerferien;1
03.10.2018;Tag der Deutschen Einheit;1
29.10.2018;Herbstferien;1
30.10.2018;Herbstferien;1
31.10.2018;Herbstferien;1
01.11.2018;Allerheiligen;1
02.11.2018;Herbstferien;1
24.12.2018;Weihnachtsferien;1
25.12.2018;1. Weihnachtstag;1
26.12.2018;2. Weihnachtstag;1
27.12.2018;Weihnachstferien;1
28.12.2018;Weihnachstferien;1
29.12.2018;Weihnachstferien;1
30.12.2018;Weihnachstferien;1
31.12.2018;Weihnachstferien;1
01.01.2019;Neujahr;1
02.01.2019;Weihnachtsferien;1
03.01.2019;Weihnachtsferien;1
04.01.2019;Weihnachtsferien;1
05.01.2019;Weihnachtsferien;1
06.01.2019;Heilige Drei Koenige;1
15.04.2019;Osterferien;1
16.04.2019;Osterferien;1
17.04.2019;Osterferien;1
18.04.2019;Osterferien;1
19.04.2019;Karfreitag;1
20.04.2019;Osterferien;1
21.04.2019;Osterferien;1
22.04.2019;Ostermontag;1
23.04.2019;Osterferien;1
24.04.2019;Osterferien;1
25.04.2019;Osterferien;1
26.04.2019;Osterferien;1
27.04.2019;Osterferien;1
01.05.2019;Maifeiertag;1
30.05.2019;Christi Himmelfahrt;1
10.06.2019;Pfingstmontag;1
11.06.2019;Pfingstferien;1
12.06.2019;Pfingstferien;1
13.06.2019;Pfingstferien;1
14.06.2019;Pfingstferien;1
15.06.2019;Pfingstferien;1
16.06.2019;Pfingstferien;1
17.06.2019;Pfingstferien;1
18.06.2019;Pfingstferien;1
19.06.2019;Pfingstferien;1
20.06.2019;Fronleichnam;1
21.06.2019;Pfingstferien;1
29.07.2019;Sommerferien;1
30.07.2019;Sommerferien;1
31.07.2019;Sommerferien;1
01.08.2019;Sommerferien;1
02.08.2019;Sommerferien;1
03.08.2019;Sommerferien;1
04.08.2019;Sommerferien;1
05.08.2019;Sommerferien;1
06.08.2019;Sommerferien;1
07.08.2019;Sommerferien;1
08.08.2019;Sommerferien;1
09.08.2019;Sommerferien;1
10.08.2019;Sommerferien;1
11.08.2019;Sommerferien;1
12.08.2019;Sommerferien;1
13.08.2019;Sommerferien;1
14.08.2019;Sommerferien;1
15.08.2019;Sommerferien;1
16.08.2019;Sommerferien;1
17.08.2019;Sommerferien;1
18.08.2019;Sommerferien;1
19.08.2019;Sommerferien;1
20.08.2019;Sommerferien;1
21.08.2019;Sommerferien;1
22.08.2019;Sommerferien;1
23.08.2019;Sommerferien;1
24.08.2019;Sommerferien;1
25.08.2019;Sommerferien;1
26.08.2019;Sommerferien;1
27.08.2019;Sommerferien;1
28.08.2019;Sommerferien;1
29.08.2019;Sommerferien;1
30.08.2019;Sommerferien;1
31.08.2019;Sommerferien;1
01.09.2019;Sommerferien;1
02.09.2019;Sommerferien;1
03.09.2019;Sommerferien;1
04.09.2019;Sommerferien;1
05.09.2019;Sommerferien;1
06.09.2019;Sommerferien;1
07.09.2019;Sommerferien;1
08.09.2019;Sommerferien;1
09.09.2019;Sommerferien;1
10.09.2019;Sommerferien;1
03.10.2019;Tag der Deutschen Einheit;1
28.10.2019;Herbstferien;1
29.10.2019;Herbstferien;1
30.10.2019;Herbstferien;1
31.10.2019;Herbstferien;1
01.11.2019;Allerheiligen;1
23.12.2019;Weihnachtsferien;1
24.12.2019;Weihnachtsferien;1
25.12.2019;1. Weihnachtstag;1
26.12.2019;2. Weihnachtstag;1
27.12.2019;Weihnachtsferien;1
28.12.2019;Weihnachtsferien;1
29.12.2019;Weihnachtsferien;1
30.12.2019;Weihnachtsferien;1
31.12.2019;Weihnachtsferien;1
01.01.2020;Neujahr;1
02.01.2020;Weihnachtsferien;1
03.01.2020;Weihnachtsferien;1
04.01.2020;Weihnachtsferien;1
05.01.2020;Weihnachtsferien;1
06.01.2020;Heilige drei Koenige;1
06.04.2020;Osterferien;1
07.04.2020;Osterferien;1
08.04.2020;Osterferien;1
09.04.2020;Osterferien;1
10.04.2020;Karfreitag;1
11.04.2020;Osterferien;1
12.04.2020;Osterferien;1
13.04.2020;Ostermontag;1
14.04.2020;Osterferien;1
15.04.2020;Osterferien;1
16.04.2020;Osterferien;1
17.04.2020;Osterferien;1
18.04.2020;Osterferien;1
01.05.2020;Tag der Arbeit;1
21.05.2020;Christi Himmelfahrt;1
01.06.2020;Pfingstmontag;1
02.06.2020;Pfingstferien;1
03.06.2020;Pfingstferien;1
04.06.2020;Pfingstferien;1
05.06.2020;Pfingstferien;1
06.06.2020;Pfingstferien;1
07.06.2020;Pfingstferien;1
08.06.2020;Pfingstferien;1
09.06.2020;Pfingstferien;1
10.06.2020;Pfingstferien;1
11.06.2020;Fronleichnam;1
12.06.2020;Pfingsferien;1
13.06.2020;Pfingstferien;1
30.07.2020;Sommerferien;1
31.07.2020;Sommerferien;1
01.08.2020;Sommerferien;1
02.08.2020;Sommerferien;1
03.08.2020;Sommerferien;1
04.08.2020;Sommerferien;1
05.08.2020;Sommerferien;1
06.08.2020;Sommerferien;1
07.08.2020;Sommerferien;1
08.08.2020;Sommerferien;1
09.08.2020;Sommerferien;1
10.08.2020;Sommerferien;1
11.08.2020;Sommerferien;1
12.08.2020;Sommerferien;1
13.08.2020;Sommerferien;1
14.08.2020;Sommerferien;1
15.08.2020;Sommerferien;1
16.08.2020;Sommerferien;1
17.08.2020;Sommerferien;1
18.08.2020;Sommerferien;1
19.08.2020;Sommerferien;1
20.08.2020;Sommerferien;1
21.08.2020;Sommerferien;1
22.08.2020;Sommerferien;1
23.08.2020;Sommerferien;1
24.08.2020;Sommerferien;1
25.08.2020;Sommerferien;1
26.08.2020;Sommerferien;1
27.08.2020;Sommerferien;1
28.08.2020;Sommerferien;1
29.08.2020;Sommerferien;1
30.08.2020;Sommerferien;1
31.08.2020;Sommerferien;1
01.09.2020;Sommerferien;1
02.09.2020;Sommerferien;1
03.09.2020;Sommerferien;1
04.09.2020;Sommerferien;1
05.09.2020;Sommerferien;1
06.09.2020;Sommerferien;1
07.09.2020;Sommerferien;1
08.09.2020;Sommerferien;1
09.09.2020;Sommerferien;1
10.09.2020;Sommerferien;1
11.09.2020;Sommerferien;1
12.09.2020;Sommerferien;1
03.10.2020;Tag der Deutschen Einheit;1
26.10.2020;Herbstferien;1
27.10.2020;Herbstferien;1
28.10.2020;Herbstferien;1
29.10.2020;Herbstferien;1
30.10.2020;Herbstferien;1
31.10.2020;Herbstferien;1
01.11.2020;Allerheiligen;1
23.12.2020;Weihnachtsferien;1
24.12.2020;Weihnachtsferien;1
25.12.2020;1. Weihnachtstag;1
26.12.2020;2. Weihnachtstag;1
27.12.2020;Weihnachtsferien;1
28.12.2020;Weihnachtsferien;1
29.12.2020;Weihnachtsferien;1
30.12.2020;Weihnachtsferien;1
31.12.2020;Weihnachtsferien;1
01.01.2021;Neujahr;1
02.01.2021;Weihnachtsferien;1
03.01.2021;Weihnachtsferien;1
04.01.2021;Weihnachtsferien;1
05.01.2021;Weihnachtsferien;1
06.01.2021;Heilige drei Koenige;1
07.01.2021;Weihnachtsferien;1
08.01.2021;Weihnachtsferien;1
09.01.2021;Weihnachtsferien;1
